
TimeGMT,TemperatureC,Dew PointC,Humidity,Sea Level PressurehPa,VisibilityKm,Wind Direction,Wind SpeedKm/h,Gust SpeedKm/h,Precipitationmm,Events,Conditions,WindDirDegrees,DateUTC<br />
12:20 AM,6.0,5.0,93,1015,8.0,SSE,18.5,-,N/A,,Mostly Cloudy,150,2010-01-16 00:20:00<br />
12:50 AM,6.0,5.0,93,1014,9.0,SSE,22.2,-,N/A,,Mostly Cloudy,150,2010-01-16 00:50:00<br />
1:20 AM,6.0,4.0,87,1014,10.0,SSE,20.4,-,N/A,,Mostly Cloudy,150,2010-01-16 01:20:00<br />
1:50 AM,5.0,4.0,93,1013,10.0,SSE,22.2,-,N/A,,Scattered Clouds,150,2010-01-16 01:50:00<br />
2:20 AM,5.0,3.0,87,1013,10.0,SSE,22.2,-,N/A,,Scattered Clouds,150,2010-01-16 02:20:00<br />
2:50 AM,4,2,81,1013,10,SSE,24.1,,,,Overcast,150,2010-01-16 02:50:00<br />
2:50 AM,4.0,2.0,87,1013,9.0,SSE,24.1,-,N/A,,Unknown,150,2010-01-16 02:50:00<br />
3:20 AM,4.0,2.0,87,1012,-9999.0,SSE,22.2,-,N/A,,Clear,150,2010-01-16 03:20:00<br />
3:50 AM,4.0,2.0,87,1011,10.0,SSE,27.8,-,N/A,,Partly Cloudy,150,2010-01-16 03:50:00<br />
4:20 AM,4.0,2.0,87,1010,10.0,SE,29.6,-,N/A,,Partly Cloudy,140,2010-01-16 04:20:00<br />
4:50 AM,4.0,2.0,87,1009,-9999.0,SE,27.8,-,N/A,,Clear,140,2010-01-16 04:50:00<br />
5:20 AM,4.0,2.0,87,1009,-9999.0,SSE,24.1,-,N/A,,Clear,160,2010-01-16 05:20:00<br />
5:50 AM,4,2,85,1009,9,SSE,24.1,,,Rain,Light Rain Showers,150,2010-01-16 05:50:00<br />
5:50 AM,4.0,2.0,87,1009,10.0,SSE,22.2,-,N/A,,Light Drizzle,150,2010-01-16 05:50:00<br />
6:20 AM,4.0,3.0,93,1008,9.0,SSE,27.8,-,N/A,Rain,Light Rain,150,2010-01-16 06:20:00<br />
6:50 AM,4.0,3.0,93,1007,8.0,SE,31.5,-,N/A,Rain,Light Rain,140,2010-01-16 06:50:00<br />
7:20 AM,5.0,3.0,87,1007,10.0,SSE,27.8,-,N/A,Rain,Light Rain,150,2010-01-16 07:20:00<br />
7:50 AM,5.0,3.0,87,1007,10.0,SSE,25.9,-,N/A,Rain,Rain,160,2010-01-16 07:50:00<br />
8:20 AM,5.0,3.0,87,1006,9.0,SSE,24.1,-,N/A,Rain,Light Rain,150,2010-01-16 08:20:00<br />
8:50 AM,5,4,93,1007,5,SSE,20.4,,,Rain,Light Rain,150,2010-01-16 08:50:00<br />
8:50 AM,5.0,3.0,87,1006,8.0,SSE,18.5,-,N/A,Rain,Light Rain,150,2010-01-16 08:50:00<br />
